AgentId,ActionSchemaName,MetricDate,Total Runs per action,Number of successful actions in runs,Number of actions in successful runs,Number of successful actions in successful runs
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,crad4_bml.action.SharePoint-Updateitem_VmD,2026-01-04,245,243,243,243
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-01-04,5,5,5,5
1b9df7bf-87a9-3017-5d98-6e6b9125eec8,crad4_rdaInfoBot.action.SharePoint-Getitems,2026-01-04,1,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-01-04,195,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-01-11,4,4,4,4
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,crad4_bml.action.SharePoint-Updateitem_VmD,2026-01-11,203,203,203,203
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-01-11,203,0,0,0
78ced8cc-bafa-8ffb-66f7-d4e32a37ad11,crad4_jiraProjectDataFetcher.action.Jira-GetprojectsV2,2026-01-11,2,1,0,0
1b9df7bf-87a9-3017-5d98-6e6b9125eec8,crad4_rdaInfoBot.action.SharePoint-Getitems,2026-01-11,1,1,0,0
78ced8cc-bafa-8ffb-66f7-d4e32a37ad11,crad4_jiraProjectDataFetcher.action.Jira-Getlistofissues,2026-01-11,14,12,0,0
960c51cc-6887-6873-4282-66ced44f8806,crad4_copilotStudioAgentGuide.action.Office365Outlook-SendanemailV2,2026-01-11,1,1,0,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,crad4_bml.action.SharePoint-Updateitem_VmD,2026-01-18,106,101,101,101
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-01-18,3,3,3,3
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-01-18,151,0,0,0
ab0e793c-922c-a546-1e96-a7e20fbfa785,crad4_sharePointListQueryAssistant.action.SharePoint-Getitems,2026-01-18,5,5,0,0
98e53774-1f18-e88c-9de2-07331d654981,crad4_uiPathErrorHelper.action.MicrosoftTeams-Replywithamessageinachannel,2026-01-25,1,0,0,0
ab0e793c-922c-a546-1e96-a7e20fbfa785,crad4_sharePointListQueryAssistant.action.SharePoint-Getitems,2026-01-25,2,2,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-01-25,175,0,0,0
eb13af17-e9bf-fe70-cce9-c18524c5b73c,cua_agent_Ri7MK.action.Computeruse-Computeruse~ExecuteCUA,2026-01-25,1,1,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-01-25,7,7,7,7
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,crad4_bml.action.SharePoint-Updateitem_VmD,2026-01-25,172,167,167,167
2aab30a8-56b8-f8d8-70c3-e833d143bc37,crad4_dailyMeetingBriefingAgent.action.Untitled,2026-02-01,6,6,0,0
2aab30a8-56b8-f8d8-70c3-e833d143bc37,crad4_dailyMeetingBriefingAgent.action.Office365Outlook-GetcalendarviewofeventsV3,2026-02-01,6,5,0,0
b72c5728-7ef2-aef8-3572-671f5592966d,crad4_territoryQuotaAllocationAgent.action.ExcelOnlineBusiness-Addarowintoatable,2026-02-01,11,11,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-02-01,171,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-02-01,7,7,7,7
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-02-08,7,7,7,7
