AgentId,MetricDate,Total Autonomous Runs,Number of successful runs,Number of failed runs,Total duration of all runs,Total duration of all successful runs,Total duration of all failed runs,Number of successful runs with knowledge sources used,Number of failed runs with knowledge sources used,Number of successful runs with actions used,Number of failed runs with actions used,Number of successful runs with no external operations,Number of failed runs with no external operations
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-11-30,234,0,234,1709,0,1709,0,0,0,234,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,2025-11-30,3,3,0,237,237,0,0,0,3,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-11-30,7,7,0,79,79,0,6,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2025-11-30,6,6,0,144,144,0,6,0,2,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,2025-12-07,7,7,0,124,124,0,7,0,2,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-12-07,7,7,0,54,54,0,0,0,0,0,7,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-12-07,256,0,256,1201,0,1201,0,0,0,256,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-12-14,209,1,208,1135,63,1072,0,0,1,208,0,0
33e839ea-074e-e138-16dc-4a867812860d,2025-12-14,7,7,0,164,164,0,7,0,5,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-12-14,7,7,0,65,65,0,0,0,0,0,7,0
33e839ea-074e-e138-16dc-4a867812860d,2025-12-21,7,7,0,168,168,0,5,0,6,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-12-21,2993,2993,0,17302,17302,0,0,0,0,0,2993,0
e750dd3c-bffb-1fda-7a52-161caff0b1f2,2025-12-21,2,1,1,9,5,4,0,0,1,1,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-12-21,77,0,77,395,0,395,0,0,0,77,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2025-12-28,1540,1540,0,8597,8597,0,0,0,0,0,1540,0
33e839ea-074e-e138-16dc-4a867812860d,2025-12-28,7,7,0,178,178,0,7,0,6,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2025-12-28,348,348,0,9861,9861,0,68,0,41,0,239,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2025-12-28,65,0,65,397,0,397,0,0,0,65,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-01-04,199,0,199,1060,0,1060,0,0,0,199,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-01-04,107,107,0,3280,3280,0,18,0,0,0,89,0
98e53774-1f18-e88c-9de2-07331d654981,2026-01-04,1,1,0,15,15,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-01-04,7,7,0,185,185,0,6,0,5,0,0,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,2026-01-04,245,243,2,1226,1216,10,0,0,243,2,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-01-04,1,1,0,9,9,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-01-11,7,7,0,158,158,0,4,0,4,0,2,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-01-11,1,1,0,6,6,0,0,0,0,0,1,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,2026-01-11,203,203,0,1013,1013,0,0,0,203,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-01-11,203,0,203,1064,0,1064,0,0,0,203,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-01-11,136,136,0,4973,4973,0,0,0,0,0,136,0
3bbbdfc6-17f8-c90d-5829-14f3b1738a51,2026-01-18,106,101,5,566,532,34,0,0,101,5,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,2026-01-18,1,1,0,7,7,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,2026-01-18,7,7,0,182,182,0,7,0,3,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,2026-01-18,98,98,0,5838,5838,0,3,0,0,0,95,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-01-18,151,0,151,790,0,790,0,0,0,151,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,2026-01-25,175,0,175,895,0,895,0,0,0,175,0,0
98e53774-1f18-e88c-9de2-07331d654981,2026-01-25,3,2,1,38,24,14,0,0,0,1,2,0
