AgentId,TriggerSchemaName,MetricDate,Total Autonomous Runs per trigger,Number of successful runs per trigger,Number of failed runs per trigger,Total duration of all runs per trigger,Total duration of all successful runs per trigger,Total duration of all failed runs per trigger,Number of successful runs with knowledge sources used per trigger,Number of failed runs with knowledge sources used per trigger,Number of successful runs with actions used per trigger,Number of failed runs with actions used per trigger,Number of successful runs where no operation ( use of an action or knowledge source access) was done per trigger,Number of failed runs where no operation ( use of an action or knowledge source access) was done per trigger
3f0a5559-0596-3fe5-aa0f-59899cb9169f,a9c27161-5e5f-3601-8a50-7d1ea45390fa,2025-11-30,3,3,0,237,237,0,0,0,3,0,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,crad4_copilotDailyTips.ExternalTriggerComponent.DailyHintSchedul.c65d31ae-88d1-43af-b54b-0ebdd69bd44,2025-11-30,7,7,0,79,79,0,6,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2025-11-30,6,6,0,144,144,0,6,0,2,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2025-11-30,234,0,234,1709,0,1709,0,0,0,234,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2025-12-07,7,7,0,124,124,0,7,0,2,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2025-12-07,256,0,256,1201,0,1201,0,0,0,256,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,crad4_copilotDailyTips.ExternalTriggerComponent.DailyHintSchedul.c65d31ae-88d1-43af-b54b-0ebdd69bd44,2025-12-07,7,7,0,54,54,0,0,0,0,0,7,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,crad4_copilotDailyTips.ExternalTriggerComponent.DailyHintSchedul.c65d31ae-88d1-43af-b54b-0ebdd69bd44,2025-12-14,7,7,0,65,65,0,0,0,0,0,7,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2025-12-14,209,1,208,1135,63,1072,0,0,1,208,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2025-12-14,7,7,0,164,164,0,7,0,5,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2025-12-21,7,7,0,168,168,0,5,0,6,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2025-12-21,77,0,77,395,0,395,0,0,0,77,0,0
