AgentId,KnowledgeSourceType,MetricDate,Count of knowledge source in total sessions,Count of knowledge source in unengaged sessions,Count of knowledge source in engaged sessions,Count of knowledge source in resolved sessions,Count of knowledge source in escalated sessions,Count of knowledge source in abandoned sessions,Count of Knowledge sources in autonomous runs,Count of Knowledge sources in successful autonomous runs
87393e81-7495-669f-21ae-593bef161fec,Unknown,2025-11-30,4,0,4,0,0,4,0,0
33e839ea-074e-e138-16dc-4a867812860d,Unknown,2025-11-30,0,0,0,0,0,0,7,7
87393e81-7495-669f-21ae-593bef161fec,SharePointSearchSource,2025-11-30,52,0,52,0,11,41,0,0
8785182c-24d6-7f79-5dc9-9ac9fd249562,SharePointSearchSource,2025-11-30,7,0,7,0,0,7,0,0
b7663e05-9566-32c2-652f-3d0adb031bc3,SharePointSearchSource,2025-11-30,1,0,1,0,0,1,0,0
2697718a-42c6-f250-aa5e-f0f8952c062b,SharePointSearchSource,2025-11-30,22,0,22,0,0,22,0,0
610a1003-e9e3-4885-7db3-022c19733bfa,Unknown,2025-11-30,2,0,2,0,0,2,0,0
ae0ffdb4-3f51-f4c4-87a7-53c2b46a0c18,Unknown,2025-11-30,0,0,0,0,0,0,6,6
32f583f9-f6d8-c9f0-486d-cf7e37e290a3,SharePointSearchSource,2025-11-30,1,0,1,0,0,1,0,0
6e658adc-fd2c-5e2d-4c87-36c2c1cb51c4,Unknown,2025-11-30,4,0,4,0,0,4,0,0
3baf12a4-9501-a528-b314-c920811a3df0,Unknown,2025-11-30,4,0,4,0,0,4,0,0
169d23ee-46b6-6035-1181-5a8f971e97d7,SharePointSearchSource,2025-11-30,7,0,7,1,0,6,0,0
cc7b8ab1-1d07-4be2-ae9f-dbdbe55bc815,SharePointSearchSource,2025-11-30,8,0,8,0,0,8,0,0
97e0c126-373b-af1e-56cd-788ede4eb630,Unknown,2025-11-30,5,0,5,0,0,5,0,0
3baf12a4-9501-a528-b314-c920811a3df0,SharePointSearchSource,2025-11-30,3,0,3,0,0,3,0,0
8785182c-24d6-7f79-5dc9-9ac9fd249562,Unknown,2025-11-30,1,0,1,0,0,1,0,0
169d23ee-46b6-6035-1181-5a8f971e97d7,Unknown,2025-11-30,7,0,7,3,0,4,0,0
84fd6b25-b55c-ae4d-4098-b607983fdcc8,SharePointSearchSource,2025-11-30,1,0,1,0,0,1,0,0
4111a6f3-4795-faaa-a909-d41f12b3b59d,Unknown,2025-11-30,1,0,1,0,0,1,0,0
c7f55dbb-2320-dd06-d650-1ff541f9a0a9,Unknown,2025-11-30,3,0,3,0,0,3,0,0
ceede420-8909-11dc-8679-f8de582f2516,SharePointSearchSource,2025-11-30,1,0,1,0,0,1,0,0
53c7f1c6-a8e7-5cfb-6d23-34f30849e2b2,SharePointSearchSource,2025-11-30,2,0,2,0,0,2,0,0
65f50475-4310-c061-588a-0013c4281df5,SharePointSearchSource,2025-11-30,50,1,49,0,9,40,0,0
f782731f-ea53-6b3d-b09b-cbd8d0cf39d9,Unknown,2025-11-30,2,0,2,0,0,2,0,0
27e807a7-26de-f724-f67b-accc6e390973,SharePointSearchSource,2025-11-30,30,0,30,0,0,30,0,0
c7f55dbb-2320-dd06-d650-1ff541f9a0a9,SharePointSearchSource,2025-11-30,1,0,1,0,0,1,0,0
c7f55dbb-2320-dd06-d650-1ff541f9a0a9,Unknown,2025-12-07,8,0,8,0,0,8,0,0
77f55b4a-cfc4-c254-b834-f69f8f1dc8e0,Unknown,2025-12-07,1,0,1,1,0,0,0,0
623ba53d-e9ff-887b-2cce-47bdc661a1b7,SharePointSearchSource,2025-12-07,68,0,68,0,0,68,0,0
4111a6f3-4795-faaa-a909-d41f12b3b59d,Unknown,2025-12-07,1,0,1,0,0,1,0,0
27e807a7-26de-f724-f67b-accc6e390973,SharePointSearchSource,2025-12-07,2,0,2,0,0,2,0,0
c7f55dbb-2320-dd06-d650-1ff541f9a0a9,SharePointSearchSource,2025-12-07,1,0,1,0,0,1,0,0
65f50475-4310-c061-588a-0013c4281df5,SharePointSearchSource,2025-12-07,50,0,50,0,0,50,0,0
f782731f-ea53-6b3d-b09b-cbd8d0cf39d9,Unknown,2025-12-07,26,0,26,0,0,26,0,0
ceede420-8909-11dc-8679-f8de582f2516,SharePointSearchSource,2025-12-07,1,0,1,0,0,1,0,0
2697718a-42c6-f250-aa5e-f0f8952c062b,SharePointSearchSource,2025-12-07,24,0,24,0,0,24,0,0
87393e81-7495-669f-21ae-593bef161fec,Unknown,2025-12-07,2,0,2,0,1,1,0,0
33e839ea-074e-e138-16dc-4a867812860d,Unknown,2025-12-07,0,0,0,0,0,0,7,7
87393e81-7495-669f-21ae-593bef161fec,SharePointSearchSource,2025-12-07,28,0,28,0,10,18,0,0
75d4fa33-7033-c6f5-b27f-5e9c678920f2,SharePointSearchSource,2025-12-07,4,0,4,0,0,4,0,0
169d23ee-46b6-6035-1181-5a8f971e97d7,Unknown,2025-12-07,6,0,6,2,0,4,0,0
3baf12a4-9501-a528-b314-c920811a3df0,Unknown,2025-12-07,8,0,8,0,0,8,0,0
