AgentId,MetricDate,Total sessions,Number of resolved sessions,Number of escalated sessions,Number of abandoned sessions,Number of engaged sessions,Number of unengaged sessions,Number of CSAT responses,Number of responses with CSAT rating of 1,Number of responses with CSAT rating of 2,Number of responses with CSAT rating of 3,Number of responses with CSAT rating of 4,Number of responses with CSAT rating of 5,Average duration of all sessions,Average duration of unengaged sessions,Average duration of engaged sessions,Average duration of resolved sessions,Average duration of escalated sessions,Average duration of abandoned sessions,Number of engaged sessions with knowledge sources used,Number of unengaged sessions with knowledge sources used,Number of resolved sessions with knowledge sources used,Number of escalated sessions with knowledge sources used,Number of abandoned sessions with knowledge sources used
84fd6b25-b55c-ae4d-4098-b607983fdcc8,2025-11-30,2,0,0,2,2,0,0,0,0,0,0,0,41.5,,41.5,,,41.5,1,0,0,0,1
cc7b8ab1-1d07-4be2-ae9f-dbdbe55bc815,2025-11-30,4,0,0,3,3,1,0,0,0,0,0,0,76.0,1.0,101.0,,,101.0,3,0,0,0,3
2697718a-42c6-f250-aa5e-f0f8952c062b,2025-11-30,23,0,1,22,23,0,0,0,0,0,0,0,72.4347826087,,72.4347826087,,412.0,57.04545454545,17,0,0,0,17
87393e81-7495-669f-21ae-593bef161fec,2025-11-30,40,0,9,27,36,4,0,0,0,0,0,0,244.525,34.5,268.61111111111,,227.55555555556,283.0,33,0,0,7,26
c7f55dbb-2320-dd06-d650-1ff541f9a0a9,2025-11-30,3,0,0,3,3,0,0,0,0,0,0,0,25.66666666667,,25.66666666667,,,25.66666666667,3,0,0,0,3
610a1003-e9e3-4885-7db3-022c19733bfa,2025-11-30,5,0,0,2,2,3,0,0,0,0,0,0,2138.8,3401.0,246.0,,,246.0,2,0,0,0,2
169d23ee-46b6-6035-1181-5a8f971e97d7,2025-11-30,3,1,0,2,3,0,0,0,0,0,0,0,834.0,,834.0,491.0,,1005.5,2,0,1,0,1
3bfaf06f-d2a8-91a6-cf67-5e6a7e82b277,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0,45.0,,45.0,,,45.0,0,0,0,0,0
3700af0b-5279-d5ef-2aca-92c5c507e85c,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0,125.0,,125.0,,,125.0,0,0,0,0,0
f782731f-ea53-6b3d-b09b-cbd8d0cf39d9,2025-11-30,2,0,0,1,1,1,0,0,0,0,0,0,7.0,0.0,14.0,,,14.0,1,0,0,0,1
50285ca2-6592-9701-2f9e-9cbbb26700ae,2025-11-30,5,0,4,1,5,0,0,0,0,0,0,0,44.0,,44.0,,41.0,58.0,0,0,0,0,0
4111a6f3-4795-faaa-a909-d41f12b3b59d,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0,26.0,,26.0,,,26.0,1,0,0,0,1
ceede420-8909-11dc-8679-f8de582f2516,2025-11-30,2,0,0,2,2,0,0,0,0,0,0,0,226.0,,226.0,,,226.0,1,0,0,0,1
75f344a4-4611-b3b6-5c80-ab30daa9eaa7,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0,23.0,,23.0,,,23.0,0,0,0,0,0
c2549aa3-c5ed-3cd6-1c07-aecddf125dc0,2025-11-30,5,0,0,5,5,0,0,0,0,0,0,0,507.2,,507.2,,,507.2,0,0,0,0,0
9e57ca6f-5ef0-6621-9349-45f2e77ae1ef,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0,511.0,,511.0,,,511.0,0,0,0,0,0
91ae11a4-e14a-db12-eef4-f37a88c4aad3,2025-11-30,2,0,0,2,2,0,0,0,0,0,0,0,362.0,,362.0,,,362.0,0,0,0,0,0
97e0c126-373b-af1e-56cd-788ede4eb630,2025-11-30,2,0,0,2,2,0,0,0,0,0,0,0,68.0,,68.0,,,68.0,2,0,0,0,2
65f50475-4310-c061-588a-0013c4281df5,2025-11-30,25,0,1,22,23,2,0,0,0,0,0,0,351.96,12.5,381.78260869565,,1072.0,350.59090909091,19,1,0,1,18
8785182c-24d6-7f79-5dc9-9ac9fd249562,2025-11-30,9,0,0,7,7,2,0,0,0,0,0,0,333.11111111111,30.0,420.14285714286,,,420.14285714286,4,0,0,0,4
76d780bd-840a-d20b-98e0-d710b1e73125,2025-11-30,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,,,,,0,0,0,0,0
53c7f1c6-a8e7-5cfb-6d23-34f30849e2b2,2025-11-30,7,1,4,1,6,1,0,0,0,0,0,0,352.42857142857,3.0,411.16666666667,1561.0,38.5,753.0,1,0,0,0,1
b7663e05-9566-32c2-652f-3d0adb031bc3,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0,30.0,,30.0,,,30.0,1,0,0,0,1
6e658adc-fd2c-5e2d-4c87-36c2c1cb51c4,2025-11-30,2,0,0,2,2,0,0,0,0,0,0,0,109.0,,109.0,,,109.0,2,0,0,0,2
32f583f9-f6d8-c9f0-486d-cf7e37e290a3,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0,34.0,,34.0,,,34.0,1,0,0,0,1
dd4f770c-d6ba-d4eb-0822-e7c6df575129,2025-11-30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0
1b9df7bf-87a9-3017-5d98-6e6b9125eec8,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0,57.0,,57.0,,,57.0,0,0,0,0,0
