AgentId,TopicId,TopicName,MetricDate,Total number of sessions per topic,Total number of resolved sessions per topic,Total number of escalated sessions per topic,Total number of abandoned sessions per topic,Total number of engaged sessions per topic,Total number of unengaged sessions per topic,Number of CSAT responses per topic,Number of responses with CSAT rating of 1 per topic,Number of responses with CSAT rating of 2 per topic,Number of responses with CSAT rating of 3 per topic,Number of responses with CSAT rating of 4 per topic,Number of responses with CSAT rating of 5 per topic
87393e81-7495-669f-21ae-593bef161fec,126e7090-d29d-4afc-9243-6d009160febc,Delegation of Authority (DOA),2025-11-30,2,0,0,1,2,0,0,0,0,0,0,0
87393e81-7495-669f-21ae-593bef161fec,3fe874b6-f8f6-4cc8-b369-d1756dc3cbe1,Contact Finance Policy Team,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0
8785182c-24d6-7f79-5dc9-9ac9fd249562,408442fa-2a6d-467a-bfc6-e1a4fb0abb52,Greeting,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0
87393e81-7495-669f-21ae-593bef161fec,8b4d5c77-7f30-457c-b0a4-54eab9ad7289,Trigger_Welcome_Message,2025-11-30,3,0,0,3,3,0,0,0,0,0,0,0
91ae11a4-e14a-db12-eef4-f37a88c4aad3,7d04fa07-3e6f-4f6f-91b2-d544a611da18,Greeting,2025-11-30,1,0,0,1,1,0,0,0,0,0,0,0
623ba53d-e9ff-887b-2cce-47bdc661a1b7,16e493ec-af0e-4f99-a8a2-098c37189482,Greeting,2025-12-07,2,0,0,2,2,0,0,0,0,0,0,0
e5914c19-95d0-e253-5bf0-740b6b5f7f3a,6561affc-7c42-43e4-bb3d-a8e096599f6b,Greeting,2025-12-07,1,0,0,1,1,0,0,0,0,0,0,0
65f50475-4310-c061-588a-0013c4281df5,d0b2df95-d3e6-42f3-a0d4-7eeb5795579a,add new question to bot,2025-12-07,1,0,0,1,1,0,0,0,0,0,0,0
6e658adc-fd2c-5e2d-4c87-36c2c1cb51c4,f3a5b112-1730-44fe-94db-87c1f3fb7ab6,Access to CAL Chart in powerbi,2025-12-07,1,0,0,1,1,0,0,0,0,0,0,0
65f50475-4310-c061-588a-0013c4281df5,bd2b925f-91b4-4763-b989-34b85a457716,Greeting,2025-12-07,1,0,0,1,1,0,0,0,0,0,0,0
87393e81-7495-669f-21ae-593bef161fec,126e7090-d29d-4afc-9243-6d009160febc,Delegation of Authority (DOA),2025-12-07,2,0,0,2,2,0,0,0,0,0,0,0
87393e81-7495-669f-21ae-593bef161fec,8b4d5c77-7f30-457c-b0a4-54eab9ad7289,Trigger_Welcome_Message,2025-12-07,2,0,0,1,2,0,0,0,0,0,0,0
65f50475-4310-c061-588a-0013c4281df5,a5b8554e-906e-4abd-a827-c60e5f620032,qms documentation,2025-12-14,2,0,0,2,2,0,0,0,0,0,0,0
65f50475-4310-c061-588a-0013c4281df5,bd2b925f-91b4-4763-b989-34b85a457716,Greeting,2025-12-14,1,0,0,1,1,0,0,0,0,0,0,0
87393e81-7495-669f-21ae-593bef161fec,126e7090-d29d-4afc-9243-6d009160febc,Delegation of Authority (DOA),2025-12-14,1,0,0,1,1,0,0,0,0,0,0,0
